transaction_id,reason,pipeline_run_id,ingestion_timestamp
32,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
89,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
92,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
123,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
127,invalid_date,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
155,invalid_date,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
206,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
211,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
222,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
251,invalid_date,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
269,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
388,invalid_date,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
391,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
430,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
465,invalid_date,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
476,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
517,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
558,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
566,invalid_date,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
601,invalid_date,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
610,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
652,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
653,invalid_amount,380a224c-6751-4afe-b715-2f26b58fcfe6,2026-06-06 08:24:33.328767
