pipeline_run_id,raw_rows,valid_rows,rejected_rows,execution_timestamp
2a8f84b8-d7cf-49c0-b440-6dd2e6e7fe0e,10000,9720,280,2026-06-06 07:23:59.458615
c740fd0d-f8e8-4e10-8858-6b5934332b9b,10000,9720,280,2026-06-06 07:24:06.112493
b2661872-5f01-4fc1-a4a8-ec12760a3414,10000,9720,280,2026-06-06 07:24:10.633206
5a66d767-8cc5-49ed-9d9f-8480417b1f1e,10000,9720,280,2026-06-06 07:24:17.464441
dcb77a11-88f9-4d6a-8a67-3ec334a32f51,10000,9720,280,2026-06-06 07:24:44.358026
e5987bac-4912-411c-88b1-c9c25e11f8ec,10000,9720,280,2026-06-06 07:24:55.681087
406177e7-5db2-4bf4-94c6-21089cab3986,10000,9720,280,2026-06-06 07:25:11.534858
8cbe65cf-34d6-439f-b7da-0564bcb50ada,10000,9720,280,2026-06-06 07:26:28.390134
05ca17e8-02dc-4dd3-9ee0-4d62317ea0b1,9991,9711,280,2026-06-06 07:26:58.242864
128f9d69-0dca-4ee2-b464-a4fc172e827e,10000,9716,284,2026-06-06 07:27:26.449892
3a90bce9-e949-493f-b695-10adaae541d6,10000,9703,297,2026-06-06 07:28:23.169290
bea95603-4521-4073-a39c-f6878cfab157,10000,9703,297,2026-06-06 07:31:16.353885
58489cdb-ba87-416a-8020-73ac786ddb39,10000,9703,297,2026-06-06 07:35:33.078481
605bc595-e56a-413c-b4ea-f51382365641,10000,9703,297,2026-06-06 07:35:46.665221
72ce971f-74df-4d82-a9fc-11993791481d,10000,9691,309,2026-06-06 07:36:22.966319
d91f50d3-8464-4dde-ba2c-e2201a219a5e,10000,9691,309,2026-06-06 07:39:02.645177
48a54609-2661-47d7-ab08-0620e8c550b3,10000,9691,309,2026-06-06 07:39:21.185636
c6e3560e-f613-4c50-9ea3-1d7314c3fd26,10000,9691,309,2026-06-06 07:42:24.10867
464c3c42-c835-4e8f-a121-822a74c7f765,10000,9691,309,2026-06-06 07:42:53.530103
7dba0fe8-e221-481d-849e-139ecc131485,10000,9697,303,2026-06-06 07:43:29.140039
cf9a6d39-168b-41d6-8bc4-fde3f76dde47,10000,9697,303,2026-06-06 07:53:55.752145
baa8b3f3-863f-4e87-873f-fe6f754558d4,10000,9697,303,2026-06-06 08:23:57.910865
380a224c-6751-4afe-b715-2f26b58fcfe6,10000,9697,303,2026-06-06 08:24:33.562623
2b863000-5939-444e-a61c-804c335c67f7,10000,9697,303,2026-06-06 13:06:19.430716
